,0
cat__season_1,-33.14139208394265
cat__season_2,0.722382939452518
cat__season_3,-2.7807153716168274
cat__season_4,35.19972451610113
cat__yr_0,-42.991931426152576
cat__yr_1,42.99193142711542
cat__mnth_1,-8.30607137968197
cat__mnth_2,-6.3226319353157985
cat__mnth_3,6.4739563124545585
cat__mnth_4,2.769689720763722
cat__mnth_5,15.783612625951537
cat__mnth_6,3.9072337725141355
cat__mnth_7,-16.788169888480617
cat__mnth_8,1.5996781041947656
cat__mnth_9,28.46936518993374
cat__mnth_10,8.198866759226428
cat__mnth_11,-19.817892916120766
cat__mnth_12,-15.967636365457935
cat__hr_0,-125.43368279127222
cat__hr_1,-142.27592731176438
cat__hr_2,-152.65349659626824
cat__hr_3,-162.70361052126046
cat__hr_4,-165.11903791957985
cat__hr_5,-147.10041435929705
cat__hr_6,-90.38603236163218
cat__hr_7,46.559753920149944
cat__hr_8,190.78008118048015
cat__hr_9,38.78849206866017
cat__hr_10,-14.171314511315291
cat__hr_11,8.454353904104366
cat__hr_12,51.07987798485118
cat__hr_13,46.6157640639271
cat__hr_14,25.3403990664338
cat__hr_15,34.44546444328475
cat__hr_16,100.35478872389506
cat__hr_17,257.30653955189285
cat__hr_18,217.10138951137927
cat__hr_19,110.50416672283906
cat__hr_20,34.331721422171206
cat__hr_21,-16.00553980415843
cat__hr_22,-53.409885298256036
cat__hr_23,-92.4038510893306
cat__holiday_0,9.439863803454072
cat__holiday_1,-9.43986380342537
cat__weekday_0,-5.370031211330276
cat__weekday_1,-4.5022647703652385
cat__weekday_2,-2.879537874835684
cat__weekday_3,-0.7903350177759472
cat__weekday_4,-1.3121352825730455
cat__weekday_5,3.850084637070685
cat__weekday_6,11.004219519828617
cat__workingday_0,-3.805675494988335
cat__workingday_1,3.8056754950402
cat__weathersit_1,50.84897303831088
cat__weathersit_2,39.64952866003672
cat__weathersit_3,-13.719686222010493
cat__weathersit_4,-76.77881547663577
num__temp,21.770588365239426
num__atemp,21.25837477306947
num__hum,-15.787041514166496
num__windspeed,-3.7865486834297197
